# omegamh2 omegabh2 H0
1.425417999999999963e-01 2.234057000000000057e-02 6.744872999999999763e+01
1.451056000000000012e-01 2.206844999999999987e-02 6.613524999999999920e+01
1.434921000000000113e-01 2.258024000000000142e-02 6.742431999999999448e+01
1.447061000000000042e-01 2.230607000000000076e-02 6.658446999999999605e+01
1.424931000000000114e-01 2.228702999999999934e-02 6.732666000000000395e+01
1.425367999999999913e-01 2.253646999999999942e-02 6.778564000000000078e+01
1.455606999999999873e-01 2.207583000000000115e-02 6.609130999999999290e+01
1.439767000000000130e-01 2.262946999999999875e-02 6.727294999999999447e+01
1.425762999999999892e-01 2.244902999999999829e-02 6.766357000000000710e+01
1.408666000000000085e-01 2.250993999999999912e-02 6.833252000000000237e+01
1.447789999999999910e-01 2.250496999999999914e-02 6.678467000000000553e+01
1.408178999999999959e-01 2.237634000000000151e-02 6.807372999999999763e+01
1.423918000000000128e-01 2.258334999999999856e-02 6.799071999999999605e+01
1.445712000000000108e-01 2.231230999999999839e-02 6.674071999999999605e+01
1.409965999999999997e-01 2.254748000000000169e-02 6.823485999999999763e+01
1.438398999999999928e-01 2.232088000000000128e-02 6.718505999999999290e+01
1.416126000000000051e-01 2.228822999999999915e-02 6.782470999999999606e+01
1.426105000000000012e-01 2.234999999999999834e-02 6.749267999999999290e+01
1.459872000000000114e-01 2.220406999999999936e-02 6.599365000000000236e+01
1.416399999999999881e-01 2.243766000000000163e-02 6.799560999999999922e+01
1.429336999999999969e-01 2.250328999999999871e-02 6.761475000000000080e+01
1.429195000000000049e-01 2.241922999999999833e-02 6.738524999999999920e+01
1.440671000000000035e-01 2.239976000000000120e-02 6.709717000000000553e+01
1.414646999999999988e-01 2.243989000000000053e-02 6.808350000000000080e+01
1.403078000000000103e-01 2.251482999999999957e-02 6.864502000000000237e+01
1.449567999999999968e-01 2.218484000000000081e-02 6.622314000000000078e+01
1.429490999999999956e-01 2.244283999999999862e-02 6.755615000000000236e+01
1.431623999999999952e-01 2.226223000000000091e-02 6.724365000000000236e+01
1.430167999999999995e-01 2.254603000000000163e-02 6.762939000000000078e+01
1.457564000000000082e-01 2.216902000000000109e-02 6.602782999999999447e+01
1.426263999999999865e-01 2.243797999999999973e-02 6.763916000000000395e+01
